archive_position,policy_id,source_policy_id,role,charge_quantile,discharge_quantile,load_reserve_quantile,aggressiveness,candidate_policy_id,mean_cost_difference,mean_peak_difference,mean_throughput_difference,maximum_raw_witness,minimum_raw_difference,maximum_standardised_witness,orthant_effect,covariance_rank,tradeoff,candidate_empirically_safe,parameter_distance_from_candidate
0,candidate_anchor_00,policy_01,candidate_anchor,0.15,0.75,0.9,0.5,,,,,,,,,,,,
1,hard_01,hard_f217444096,hard_neighbour,0.15,0.775,0.875,0.375,policy_01,2.9015593846047603,-0.027043782739611326,-0.7642630583448748,2.9015593846047603,-0.7642630583448748,0.10596587230032745,0.10596587230032745,3,True,True,0.19651724829838513
2,hard_02,hard_c6b5cc5299,hard_neighbour,0.15,0.775,0.875,0.5,policy_01,3.013682774611908,-0.00711049801242606,-0.31868651315789465,3.013682774611908,-0.31868651315789465,0.11949055764696788,0.11949055764696788,3,True,True,0.10412132875156453
3,hard_03,hard_0bb1efb220,hard_neighbour,0.1,0.75,0.9,0.5,policy_01,6.237251904974117,-0.06326247315562165,-0.7280604224376727,6.237251904974117,-0.7280604224376727,0.15447254092709448,0.1544725409270945,3,True,True,0.09999999999999998
4,hard_04,hard_7e9444cc5d,hard_neighbour,0.175,0.75,0.925,0.375,policy_01,4.739169432609494,0.007146764717479137,-0.11219201869806054,4.739169432609494,-0.11219201869806054,0.15495849229035774,0.1549665810771912,3,True,True,0.18978142180530372
5,hard_05,hard_c802cb310e,hard_neighbour,0.175,0.775,0.925,0.375,policy_01,6.616163951627675,-0.006618617115429961,-0.435415832756232,6.616163951627675,-0.435415832756232,0.15928670854993204,0.15928670854993202,3,True,True,0.202778275164696
6,hard_06,hard_8033bdc834,hard_neighbour,0.175,0.775,0.9,0.375,policy_01,7.008353519976478,-0.0009772693886397244,-0.4205719832063704,7.008353519976478,-0.4205719832063704,0.16968165694345422,0.1696816569434542,3,True,True,0.18809523809523812
7,hard_07,hard_9eb741c003,hard_neighbour,0.175,0.75,0.9,0.375,policy_01,5.181619096477859,0.011915666834703685,-0.10065876471606616,5.181619096477859,-0.10065876471606616,0.17070258774520317,0.1718254422999408,3,True,True,0.1740051084818425
8,hard_08,hard_408599dd59,hard_neighbour,0.15,0.75,0.875,0.5,policy_01,0.7543170346958163,-0.0020952565262397347,0.008972316481994463,0.7543170346958163,-0.0020952565262397347,0.17216637456813155,0.17685651656719217,3,True,True,0.07575757575757583
9,hard_09,hard_fee32c5897,hard_neighbour,0.15,0.75,0.9,0.25,policy_01,4.723802265896962,-0.10318467529154875,-1.311389958448753,4.723802265896962,-1.311389958448753,0.18519785603102198,0.18519785603102198,3,True,True,0.3333333333333333
10,hard_10,hard_24350df083,hard_neighbour,0.175,0.775,0.875,0.375,policy_01,8.719550965759716,0.0036223345356826684,-0.4106433128462597,8.719550965759716,-0.4106433128462597,0.21357605721744724,0.21357605721744724,3,True,True,0.202778275164696
11,hard_11,hard_bc692ca804,hard_neighbour,0.175,0.75,0.875,0.375,policy_01,6.537215156725879,0.013092607765810935,-0.08903790685595533,6.537215156725879,-0.08903790685595533,0.21424420622851817,0.21539065580766845,3,True,True,0.18978142180530372
12,hard_12,hard_0793d4790b,hard_neighbour,0.15,0.75,0.85,0.5,policy_01,5.111068522137015,-0.011021256352199232,0.008972316481994463,5.111068522137015,-0.011021256352199232,0.3384252968987549,0.3402791389297684,3,True,True,0.15151515151515166
13,hard_13,hard_4d56e0dd82,hard_neighbour,0.15,0.725,0.925,0.5,policy_01,-1.287099561172107,0.005711651316864803,0.5523926246537401,0.5523926246537401,-1.287099561172107,0.3342953267579247,0.3777688275910101,3,True,True,0.10412132875156453
