case,expected_valid,observed_valid,passed,detail
valid_reference,True,True,True,accepted
raw_hash_mismatch,False,False,True,ValueError: raw evidence hash mismatch
semantic_hash_mismatch,False,False,True,ValueError: semantic hash mismatch
rehashed_count_tamper,False,False,True,ValueError: count mismatch
rehashed_verdict_tamper,False,False,True,ValueError: verdict mismatch
rehashed_method_tamper,False,False,True,ValueError: coordinate_thresholds mismatch
invalid_spending,False,False,True,"ValidationError: 'log_telescoping' was expected

Failed validating 'const' in schema['properties']['semantic_core']['properties']['stopping_rule']['properties']['spending']:
    {'const': 'log_telescoping'}

On instance['semantic_core']['stopping_rule']['spending']:
    'power'"
unknown_semantic_field,False,False,True,"ValidationError: Additional properties are not allowed ('unexpected' was unexpected)

Failed validating 'additionalProperties' in schema['properties']['semantic_core']:
    {'type': 'object',
     'additionalProperties': False,
     'required': ['specification',
                  'claim',
                  'stopping_rule',
                  'sufficient_statistics',
                  'certificate',
                  'raw_evidence'],
     'properties': {'specification': {'const': 'pcpi-paired-candidate-certificate/0.6'},
                    'claim': {'type': 'object',
                              'additionalProperties': False,
                              'required': ['type',
                                           'candidate_id',
                                           'challenger_ids',
                                           'objective_names',
                                           'orientation',
                                           'delta',
                                           'model'],
                              'properties': {'type': {'const': 'candidateStrictlyParetoNondominatedInMean'},
                                             'candidate_id': {'type': 'string',
                                                              'minLength': 1},
                                             'challenger_ids': {'type': 'array',
                                                                'minItems': 1,
                                                                'uniqueItems': True,
                                                                'items': {'type': 'string',
                                                                          'minLength': 1}},
                                             'objective_names': {'type': 'array',
                                                                 'minItems': 1,
                                                                 'uniqueItems': True,
                                                                 'items': {'type': 'string',
                                                                           'minLength': 1}},
                                             'orientation': {'const': 'minimise'},
                                             'delta': {'type': 'number',
                                                       'exclusiveMinimum': 0,
                                                       'exclusiveMaximum': 1},
                                             'model': {'const': 'iidPairedMultivariateNormalUnknownPositiveDefiniteCovariance'}}},
                    'stopping_rule': {'type': 'object',
                                      'additionalProperties': False,
                                      'required': ['method',
                                                   'spending',
                                                   'hybrid_hotelling_share'],
                                      'properties': {'method': {'enum': ['hotelling',
                                                                         'coordinate',
                                                                         'hybrid']},
                                                     'spending': {'const': 'log_telescoping'},
                                                     'hybrid_hotelling_share': {'type': 'number',
                                                                                'exclusiveMinimum': 0,
                                                                                'exclusiveMaximum': 1}}},
                    'sufficient_statistics': {'type': 'object',
                                              'additionalProperties': False,
                                              'required': ['count',
                                                           'means',
                                                           'covariances'],
                                              'properties': {'count': {'type': 'integer',
                                                                       'minimum': 2},
                                                             'means': {'type': 'array',
                                                                       'minItems': 1,
                                                                       'items': {'type': 'array',
                                                                                 'minItems': 1,
                                                                                 'items': {'type': 'number'}}},
                                                             'covariances': {'type': 'array',
                                                                             'minItems': 1,
                                                                             'items': {'type': 'array',
                                                                                       'minItems': 1,
                                                                                       'items': {'type': 'array',
                                                                                                 'minItems': 1,
                                                                                                 'items': {'type': 'number'}}}}}},
                    'certificate': {'type': 'object',
                                    'additionalProperties': False,
                                    'required': ['verdict',
                                                 'crossed',
                                                 'hotelling_distances',
                                                 'hotelling_thresholds',
                                                 'coordinate_t_max',
                                                 'coordinate_thresholds',
                                                 'witness_objective_indices',
                                                 'covariance_ranks'],
                                    'properties': {'verdict': {'enum': ['certified',
                                                                        'notCertified']},
                                                   'crossed': {'type': 'array',
                                                               'minItems': 1,
                                                               'items': {'type': 'boolean'}},
                                                   'hotelling_distances': {'type': 'array',
                                                                           'minItems': 1,
                                                                           'items': {'type': ['number',
                                                                                              'null']}},
                                                   'hotelling_thresholds': {'type': 'array',
                                                                            'minItems': 1,
                                                                            'items': {'type': ['number',
                                                                                               'null']}},
                                                   'coordinate_t_max': {'type': 'array',
                                                                        'minItems': 1,
                                                                        'items': {'type': 'number'}},
                                                   'coordinate_thresholds': {'type': 'array',
                                                                             'minItems': 1,
                                                                             'items': {'type': ['number',
                                                                                                'null']}},
                                                   'witness_objective_indices': {'type': 'array',
                                                                                 'minItems': 1,
                                                                                 'items': {'type': 'integer',
                                                                                           'minimum': 0}},
                                                   'covariance_ranks': {'type': 'array',
                                                                        'minItems': 1,
                                                                        'items': {'type': 'integer',
                                                                                  'minimum': 0}}}},
                    'raw_evidence': {'type': 'object',
                                     'additionalProperties': False,
                                     'required': ['media_type',
                                                  'sha256',
                                                  'relative_path'],
                                     'properties': {'media_type': {'const': 'text/csv'},
                                                    'sha256': {'type': 'string',
                                                               'pattern': '^[0-9a-f]{64}$'},
                                                    'relative_path': {'type': 'string',
                                                                      'minLength': 1}}}}}

On instance['semantic_core']:
    {'specification': 'pcpi-paired-candidate-certificate/0.6',
     'claim': {'type': 'candidateStrictlyParetoNondominatedInMean',
               'candidate_id': 'candidate',
               'challenger_ids': ['challenger_a', 'challenger_b'],
               'objective_names': ['cost', 'peak', 'throughput'],
               'orientation': 'minimise',
               'delta': 0.1,
               'model': 'iidPairedMultivariateNormalUnknownPositiveDefiniteCovariance'},
     'stopping_rule': {'method': 'hybrid',
                       'spending': 'log_telescoping',
                       'hybrid_hotelling_share': 0.5},
     'sufficient_statistics': {'count': 120,
                               'means': [[1.2976712446371748,
                                          0.049084705714577494,
                                          0.18952992996274207],
                                         [0.10527203976526502,
                                          1.1689497374243991,
                                          0.1742820558133954]],
                               'covariances': [[[1.0773235860816275,
                                                 0.14723777916502379,
                                                 0.1725058508952001],
                                                [0.14723777916502379,
                                                 0.9952086197310871,
                                                 0.04794746789346361],
                                                [0.1725058508952001,
                                                 0.04794746789346361,
                                                 0.8538193481837628]],
                                               [[0.951752420515953,
                                                 0.17145155381815774,
                                                 -0.10387140282481616],
                                                [0.17145155381815774,
                                                 1.149818258666193,
                                                 0.28016124205024284],
                                                [-0.10387140282481616,
                                                 0.28016124205024284,
                                                 0.9974465915988169]]]},
     'certificate': {'verdict': 'certified',
                     'crossed': [True, True],
                     'hotelling_distances': [187.57045859726725,
                                             142.60794468958957],
                     'hotelling_thresholds': [27.594252499899156,
                                              27.594252499899156],
                     'coordinate_t_max': [13.695636480181095,
                                          11.941856835919175],
                     'coordinate_thresholds': [4.5488107992049125,
                                               4.5488107992049125],
                     'witness_objective_indices': [0, 1],
                     'covariance_ranks': [3, 3]},
     'raw_evidence': {'media_type': 'text/csv',
                      'sha256': '099a1ef53fa6d6aa185938bbf0a987c8db4154021660b6dd6af6e250a7677c4e',
                      'relative_path': 'example_raw.csv'},
     'unexpected': 'x'}"
candidate_challenger_collision_semantics,False,False,True,ValueError: unknown challenger
invalid_covariance_replay,False,False,True,ValueError: covariance mismatch
