cell_id,method,dimension,covariance,null_geometry,challengers,replications,false_certifications,false_certification_rate,monte_carlo_se,one_sided_cp_upper_95,bonferroni_one_sided_upper_familywise_95,gate_threshold,gate_passed,boundary_ever_crossed_count,boundary_ever_crossed_rate,easy_controls_jointly_crossed_count,easy_controls_jointly_crossed_rate,false_certification_median_stopping_count,restricted_mean_stopping_count
NULL-00,coordinate,2,identity,least_favourable_dominator_boundary,3,3000,1,0.0003333333333333333,0.0003332777731473764,0.001580301827458731,0.002542737601582277,0.065,True,7,0.0023333333333333335,3000,1.0,18.0,1999.3393333333333
NULL-01,coordinate,2,compound_rho_0.5,least_favourable_dominator_boundary,3,3000,4,0.0013333333333333333,0.0006662220739752263,0.003048553035598473,0.004276870274144364,0.065,True,8,0.0026666666666666666,3000,1.0,20.5,1997.3673333333334
NULL-02,coordinate,4,identity,least_favourable_dominator_boundary,3,3000,4,0.0013333333333333333,0.0006662220739752263,0.003048553035598473,0.004276870274144364,0.065,True,7,0.0023333333333333335,3000,1.0,25.5,1997.3773333333334
NULL-03,coordinate,4,compound_rho_0.5,least_favourable_dominator_boundary,3,3000,2,0.0006666666666666666,0.00047124735975289457,0.002097095855532433,0.0031624126033904334,0.065,True,10,0.0033333333333333335,3000,1.0,25.5,1998.6836666666666
NULL-04,hotelling,2,identity,least_favourable_dominator_boundary,3,3000,1,0.0003333333333333333,0.0003332777731473764,0.001580301827458731,0.002542737601582277,0.065,True,2,0.0006666666666666666,3000,1.0,28.0,1999.3426666666667
NULL-05,hotelling,2,compound_rho_0.5,least_favourable_dominator_boundary,3,3000,1,0.0003333333333333333,0.0003332777731473764,0.001580301827458731,0.002542737601582277,0.065,True,1,0.0003333333333333333,3000,1.0,63.0,1999.3543333333334
NULL-06,hotelling,4,identity,least_favourable_dominator_boundary,3,3000,1,0.0003333333333333333,0.0003332777731473764,0.001580301827458731,0.002542737601582277,0.065,True,1,0.0003333333333333333,3000,1.0,43.0,1999.3476666666666
NULL-07,hotelling,4,compound_rho_0.5,least_favourable_dominator_boundary,3,3000,0,0.0,0.0,0.0009980790119965865,0.0018252119122370103,0.065,True,0,0.0,3000,1.0,,2000.0
NULL-08,hybrid,2,identity,least_favourable_dominator_boundary,3,3000,1,0.0003333333333333333,0.0003332777731473764,0.001580301827458731,0.002542737601582277,0.065,True,3,0.001,3000,1.0,63.0,1999.3543333333334
NULL-09,hybrid,2,compound_rho_0.5,least_favourable_dominator_boundary,3,3000,1,0.0003333333333333333,0.0003332777731473764,0.001580301827458731,0.002542737601582277,0.065,True,1,0.0003333333333333333,3000,1.0,8.0,1999.336
NULL-10,hybrid,4,identity,least_favourable_dominator_boundary,3,3000,2,0.0006666666666666666,0.00047124735975289457,0.002097095855532433,0.0031624126033904334,0.065,True,6,0.002,3000,1.0,85.5,1998.7236666666668
NULL-11,hybrid,4,compound_rho_0.5,least_favourable_dominator_boundary,3,3000,2,0.0006666666666666666,0.00047124735975289457,0.002097095855532433,0.0031624126033904334,0.065,True,7,0.0023333333333333335,3000,1.0,333.0,1998.8886666666667
