campaign,cell_id,planned_replication_paths,executed_replication_paths,method_rows,persistent_failures,primary_method,false_certifications_primary,primary_false_certification_rate,gate_passed
null_calibration,NULL-00,3000,3000,3000,0,coordinate,1,0.0003333333333333333,True
null_calibration,NULL-01,3000,3000,3000,0,coordinate,4,0.0013333333333333333,True
null_calibration,NULL-02,3000,3000,3000,0,coordinate,4,0.0013333333333333333,True
null_calibration,NULL-03,3000,3000,3000,0,coordinate,2,0.0006666666666666666,True
null_calibration,NULL-04,3000,3000,3000,0,hotelling,1,0.0003333333333333333,True
null_calibration,NULL-05,3000,3000,3000,0,hotelling,1,0.0003333333333333333,True
null_calibration,NULL-06,3000,3000,3000,0,hotelling,1,0.0003333333333333333,True
null_calibration,NULL-07,3000,3000,3000,0,hotelling,0,0.0,True
null_calibration,NULL-08,3000,3000,3000,0,hybrid,1,0.0003333333333333333,True
null_calibration,NULL-09,3000,3000,3000,0,hybrid,1,0.0003333333333333333,True
null_calibration,NULL-10,3000,3000,3000,0,hybrid,2,0.0006666666666666666,True
null_calibration,NULL-11,3000,3000,3000,0,hybrid,2,0.0006666666666666666,True
robustness,ROB-00,1000,1000,3000,0,hybrid,1,0.001,not_applicable
robustness,ROB-01,1000,1000,3000,0,hybrid,1,0.001,not_applicable
robustness,ROB-02,1000,1000,3000,0,hybrid,0,0.0,not_applicable
robustness,ROB-03,1000,1000,3000,0,hybrid,0,0.0,not_applicable
robustness,ROB-04,1000,1000,3000,0,hybrid,1,0.001,not_applicable
robustness,ROB-05,1000,1000,3000,0,hybrid,20,0.02,not_applicable
robustness,ROB-06,1000,1000,3000,0,hybrid,282,0.282,not_applicable
robustness,ROB-07,1000,1000,3000,0,hybrid,0,0.0,not_applicable
