figure_id,original_preview_size,rebuilt_preview_size,mean_abs_channel_error,max_channel_error,pass
F1,"(680, 348)","(680, 348)",0.0,0,True
F2,"(680, 359)","(680, 359)",0.0,0,True
F3,"(680, 370)","(680, 370)",0.0,0,True
F4,"(595, 499)","(595, 499)",0.0,0,True
F5,"(595, 499)","(595, 499)",0.0,0,True
F6,"(595, 499)","(595, 499)",0.0,0,True
F7,"(595, 499)","(595, 499)",0.0,0,True
GA,"(491, 189)","(491, 189)",0.0,0,True
S1,"(595, 499)","(595, 499)",0.0,0,True
S2,"(595, 499)","(595, 499)",0.0,0,True
